id,remitente,asunto,contenido,enlaces,adjuntos,label
7001435,seguridad@inbursa.com,Estado de cuenta disponible,Has recibido una transferencia por $10829.49 de Juan Pérez.,https://www.bbva.mx/,,ham
7002162,identidad@scotiabank-reclamos.me,Confirma tarjeta terminación ****2389,Confirma tu información y actualiza tus preguntas de seguridad.,http://bbva.mx-login.safe-verify.com/ingreso,,spam
7002136,help-desk@banregio-seguro.su,Verifica tu identidad para evitar suspensión,Actualiza tu método de pago para evitar cargos adicionales.,,token_instalador.exe,spam
7002411,help-desk@citibanamex-verifica.net,Confirma tarjeta terminación ****4078,Tu cuenta presenta inconsistencias. Reautentica tu dispositivo.,http://short.url/secure-pay,app_seguridad.apk,spam
7002526,bloqueo@bancoppel-verify.io,"Reembolso disponible, confirma tus datos",Inicia sesión para activar tu bonificación.,http://bbva-seguridad.mx.co/login,factura.zip,spam
7002599,actualizacion@banregio-seguro.su,Recibe bonificación por lealtad,Confirma tu información y actualiza tus preguntas de seguridad.,http://bit.ly/banco-verify-123,app_seguridad.apk,spam
7002348,soporte@hsbc-proteccion.top,Verifica tu identidad para evitar suspensión,Tu reembolso está listo. Proporciona tus datos bancarios para acreditar.,http://santander-identidad.info/update,acuse.rar,spam
7002749,seguridad@bancoppel-verify.io,Recibe bonificación por lealtad,"Para evitar el cierre, inicia sesión y verifica aquí.",http://bbva.mx-login.safe-verify.com/ingreso,factura.zip,spam
7000128,tokens@afirme.com,Transferencia recibida,Se registró un cargo por $4907.90 en comercio AMAZON el 8 de abril.,https://www.santander.com.mx/,estado_cuenta.pdf,ham
7001378,servicio.cliente@afirme.com,Aviso de domiciliación ejecutada,Tu estado de cuenta de abril ya está disponible en banca en línea.,,estado_cuenta.pdf,ham
7002547,verificacion@santander-identidad.info,Recibe bonificación por lealtad,Se requiere un pago único administrativo para liberar tu paquete.,http://short.url/secure-pay,,spam
7000585,no-reply@citibanamex.com,Recordatorio de corte de tarjeta,Tu código de verificación es 782445. No lo compartas con nadie.,https://www.inbursa.com/,,ham
7002084,alerta@bbva.mx-login.safe-verify.com,"Pago rechazado, actualiza tu método",Se requiere un pago único administrativo para liberar tu paquete.,http://bit.ly/banco-verify-123,acuse.rar,spam
7002316,noreply@hsbc-proteccion.top,Acceso no reconocido. Restablece tu contraseña,Detectamos accesos extraños. Restablece tu contraseña ahora.,,acuse.rar,spam
7000173,banca.en.linea@citibanamex.com,Confirmación de pago de tarjeta,"Detectamos un inicio de sesión desde Puebla. Si fuiste tú, ignora este mensaje.",https://www.banorte.com/,movimientos.csv,ham
7000216,alertas@santander.com.mx,Notificación de acceso desde nuevo dispositivo,Has recibido una transferencia por $10303.15 de Ana Torres.,https://www.hsbc.com.mx/,aviso_domiciliacion.pdf,ham
7002325,alerta@banamex.mx.reintegro.live,Verifica tu identidad para evitar suspensión,Se requiere un pago único administrativo para liberar tu paquete.,,token_instalador.exe,spam
7000557,notificaciones@afirme.com,Aviso de domiciliación ejecutada,La domiciliación por $2899.75 se aplicó a tu cuenta ****3983.,https://www.afirme.com/,aviso_domiciliacion.pdf,ham
7002408,reembolso@bancoppel-verify.io,"Reembolso disponible, confirma tus datos",Pago rechazado. Vuelve a registrar tu tarjeta para continuar.,http://bbva.mx-login.safe-verify.com/ingreso,comprobante.html,spam
7001233,notificaciones@banorte.com,Compra con tarjeta terminación ****4584,Has recibido una transferencia por $6425.08 de Carlos Ruiz.,,comprobante_pago.pdf,ham
7002788,verificacion@scotiabank-reclamos.me,Recibe bonificación por lealtad,Valida tu token para mantener activa la banca móvil.,http://santander-identidad.info/update,acuse.rar,spam
7002073,soporte@santander-identidad.info,"Reembolso disponible, confirma tus datos","Para evitar el cierre, inicia sesión y verifica aquí.",http://bbva-seguridad.mx.co/login,comprobante.html,spam
7002109,soporte@citibanamex-verifica.net,Verifica tu identidad para evitar suspensión,Inicia sesión para activar tu bonificación.,http://citibanamex-verifica.net/auth,acuse.rar,spam
7001260,tokens@hsbc.com.mx,Notificación de acceso desde nuevo dispositivo,Tu código de verificación es 598476. No lo compartas con nadie.,,comprobante_pago.pdf,ham
7001106,pagos@bbva.mx,Compra con tarjeta terminación ****6738,Tu código de verificación es 918918. No lo compartas con nadie.,https://www.bancoazteca.com.mx/,aviso_domiciliacion.pdf,ham
7001729,verificacion@banregio-seguro.su,"Pago rechazado, actualiza tu método",Se requiere un pago único administrativo para liberar tu paquete.,http://banorte-alerta.support/verify,comprobante.html,spam
7001711,help-desk@banorte-alerta.support,Verifica tu identidad para evitar suspensión,Actualiza tu método de pago para evitar cargos adicionales.,,token_instalador.exe,spam
7000252,seguridad@bancoppel.com,Transferencia recibida,Confirmamos el pago por $2253.48 de tu tarjeta terminación ****0691.,https://www.banregio.com/,,ham
7000479,estado.cuenta@bancoppel.com,Código de verificación de un solo uso,Confirmamos el pago por $7529.58 de tu tarjeta terminación ****9158.,,ticket_pago.pdf,ham
7001404,estado.cuenta@bancoppel.com,Código de verificación de un solo uso,Confirmamos el pago por $2270.32 de tu tarjeta terminación ****7572.,https://www.hsbc.com.mx/,,ham
7001466,servicio.cliente@banbajio.com,Programación de transferencia exitosa,"Detectamos un inicio de sesión desde Mérida. Si fuiste tú, ignora este mensaje.",https://www.cibanco.com/,comprobante_pago.pdf,ham
7000470,no-reply@inbursa.com,Actualización de datos completada,La domiciliación por $11276.33 se aplicó a tu cuenta ****5275.,https://www.banbajio.com/,ticket_pago.pdf,ham
7002291,identidad@secure-bancoazteca.mx-account.org,"Reembolso disponible, confirma tus datos",Se requiere un pago único administrativo para liberar tu paquete.,http://bit.ly/banco-verify-123,acuse.rar,spam
7001823,alerta@banamex.mx.reintegro.live,Verifica tu identidad para evitar suspensión,Pago rechazado. Vuelve a registrar tu tarjeta para continuar.,http://bbva.mx-login.safe-verify.com/ingreso,acuse.rar,spam
7002180,soporte@citibanamex-verifica.net,"Actividad inusual, valida tu sesión",Confirma tu información y actualiza tus preguntas de seguridad.,http://bit.ly/banco-verify-123,token_instalador.exe,spam
7000383,estado.cuenta@inbursa.com,Tu tarjeta está lista para entrega,Tu tarjeta terminación ****0646 está lista en la sucursal seleccionada.,https://www.citibanamex.com/,aviso_domiciliacion.pdf,ham
7002498,seguridad@banregio-seguro.su,Actualiza tu token de seguridad,Actualiza tu método de pago para evitar cargos adicionales.,http://short.url/secure-pay,factura.zip,spam
7001049,estado.cuenta@afirme.com,Alerta de movimiento en tu cuenta,Tu código de verificación es 505744. No lo compartas con nadie.,,movimientos.csv,ham
7002675,alerta@banregio-seguro.su,Actualiza tu token de seguridad,Confirma tu información y actualiza tus preguntas de seguridad.,http://banorte-alerta.support/verify,app_seguridad.apk,spam
