id,remitente,asunto,contenido,enlaces,adjuntos,label
9001180,noreply@scotiabank-seguridad.com.mx.co,Tu cuenta será cerrada en 24 horas,Detectamos accesos extranos. Restablece tu contrasena ahora.,http://update-token.top/session,app_seguridad.apk,spam
9001708,soporte@bancoppel-verify.io,Comprueba tu dispositivo para continuar,Confirma tu informacion y actualiza tus preguntas de seguridad.,http://verify-identidad.link/login,token_instalador.exe,spam
9000282,servicio.cliente@banbajio.com,Tu tarjeta está lista para entrega,Tu tarjeta terminación ****3540 está lista en la sucursal seleccionada.,https://www.banregio.com/,aviso_domiciliacion.pdf,ham
9001300,seguridad@citibanamex-verify.io,Bloqueo temporal de tu cuenta,Su prestamo ha sido aprobado. Para revizar su estatus de click al siguiente enlace.,http://bit.ly/banco-verify-123,factura.zip,spam
9000035,servicio.cliente@bbva.mx,Aviso de domiciliación ejecutada,La domiciliación por $6240.62 se aplicó a tu cuenta ****1267.,,movimientos.csv,ham
9001524,reembolso@citibanamex.mx.reintegro.live,Acceso no reconocido. Restablece tu contraseña,Detectamos accesos extranos. Restablece tu contrasena ahora.,http://citibanamex.mx.reintegro.live/login,,spam
9000493,alertas@banorte.com,Alerta de movimiento en tu cuenta,La transferencia programada para 16 de marzo quedó registrada.,https://www.banregio.com/,comprobante_pago.pdf,ham
9001941,soporte@hsbc.mx-login.safe-verify.com,Verifica tu identidad para evitar suspensión,Pago rechazado. Vuelve a registrar tu tarjeta para continuar.,http://verify-identidad.link/login,token_instalador.exe,spam
9000541,banca.en.linea@banbajio.com,Transferencia recibida,Confirmamos el pago por $9846.36 de tu tarjeta terminación ****9122.,https://www.santander.com.mx/,movimientos.csv,ham
9001995,identidad@banregio.mx.reintegro.live,Verifica tu identidad para evitar suspensión,Su prestamo ha sido aprobado. Para revizar su estatus de click al siguiente enlace.,http://banregio.mx.reintegro.live/login,acuse.rar,spam
9001043,actualizacion@scotiabank-ayuda.cc,Acceso no reconocido. Restablece tu contraseña,"Para evitar el cierre, inicia sesion y verifica aqui.",http://verify-identidad.link/login,comprobante.html,spam
9000870,alertas@inbursa.com,Programación de transferencia exitosa,Se actualizó tu información de contacto correctamente.,https://www.scotiabank.com.mx/,comprobante_pago.pdf,ham
9000642,alertas@bancoppel.com,Estado de cuenta disponible,La domiciliación por $3693.94 se aplicó a tu cuenta ****1101.,https://www.inbursa.com/,comprobante_pago.pdf,ham
9000300,notificaciones@citibanamex.com,Tu tarjeta está lista para entrega,La transferencia programada para 23 de enero quedó registrada.,https://www.bbva.mx/,ticket_pago.pdf,ham
9001315,actualizacion@secure-banbajio.com-account.org,Acceso no reconocido. Restablece tu contraseña,"Para evitar el cierre, inicia sesion y verifica aqui.",http://update-token.top/session,acuse.rar,spam
9001669,bloqueo@bancoazteca.mx.reintegro.live,Préstamo aprobado — revise su estatus,Se requiere un pago unico administrativo para liberar tu paquete.,http://mx-account-secure.info/verify,app_seguridad.apk,spam
9000741,seguridad@bancoazteca.com.mx,Programación de transferencia exitosa,Se actualizó tu información de contacto correctamente.,https://www.cibanco.com/,aviso_domiciliacion.pdf,ham
9000050,tokens@santander.com.mx,Código de verificación de un solo uso,Se actualizó tu información de contacto correctamente.,https://www.bbva.mx/,aviso_domiciliacion.pdf,ham
9001794,noreply@secure-ci-bank.com-account.org,"Actividad inusual, valida tu sesión","Para evitar el cierre, inicia sesion y verifica aqui.",http://secure-ci-bank.com-account.org/login,,spam
9000849,comunicaciones@bbva.mx,Transferencia recibida,La transferencia programada para 8 de octubre quedó registrada.,https://www.banregio.com/,comprobante_pago.pdf,ham
9000587,alertas@bancoppel.com,Programación de transferencia exitosa,Se actualizó tu información de contacto correctamente.,https://www.inbursa.com/,movimientos.csv,ham
9000435,soporte@bancoppel.com,Programación de transferencia exitosa,Has recibido una transferencia por $9005.18 de María López.,https://www.bancoppel.com/,comprobante_pago.pdf,ham
9000501,estado.cuenta@banorte.com,Recordatorio de corte de tarjeta,Tu estado de cuenta de diciembre ya está disponible en banca en línea.,https://www.cibanco.com/,aviso_domiciliacion.pdf,ham
9000724,alertas@inbursa.com,Confirmación de pago de tarjeta,La domiciliación por $9338.95 se aplicó a tu cuenta ****9448.,https://www.bancoazteca.com.mx/,comprobante_pago.pdf,ham
9000599,notificaciones@santander.com.mx,Programación de transferencia exitosa,Confirmamos el pago por $5431.73 de tu tarjeta terminación ****3262.,https://www.citibanamex.com/,movimientos.csv,ham
9000030,estado.cuenta@scotiabank.com.mx,Estado de cuenta disponible,Se registró un cargo por $9674.29 en comercio SPOTIFY el 20 de agosto.,,ticket_pago.pdf,ham
9001444,alerta@hsbc-identidad.info,Tu cuenta será cerrada en 24 horas,"Para evitar el cierre, inicia sesion y verifica aqui.",http://mx-account-secure.info/verify,app_seguridad.apk,spam
9000208,seguridad@bancoazteca.com.mx,Recordatorio de corte de tarjeta,"Detectamos un inicio de sesión desde León. Si fuiste tú, ignora este mensaje.",https://www.banbajio.com/,,ham
9000354,notificaciones@bancoazteca.com.mx,Aviso de domiciliación ejecutada,Se actualizó tu información de contacto correctamente.,https://www.banbajio.com/,,ham
