id,remitente,asunto,contenido,enlaces,adjuntos,label
1840,inversion@promo-cash.win,Oferta exclusiva: iPhone por $1 solo hoy,"Su paquete está detenido, verifique los datos de envío.",http://regalo365.cc/activar,soporte.exe,spam
2201,bono@ganamas.click,¡Has ganado un premio MILLONARIO!,"No requiere experiencia, cupos limitados.",http://sorteo-gratis.site/registro,acuse.zip,spam
3227,no-reply@banorte.com,Estado de cuenta disponible,Tu estado de cuenta de julio ya está disponible en banca en línea.,https://www.afirme.com/,aviso_domiciliacion.pdf,ham
3136,banca.en.linea@hsbc.com.mx,Confirmación de pago de tarjeta,Tu código de verificación es 872025. No lo compartas con nadie.,https://www.bancoazteca.com.mx/,estado_cuenta.pdf,ham
2112,verificacion@inversion-milagro.co,Última oportunidad: regalo asegurado,Actualice su método de pago para reactivar la suscripción.,http://promo-cash.win/recoge,acuse.zip,spam
4203,noreply@banregio-seguro.su,Tu cuenta será cerrada en 24 horas,Evita la suspensión cargando una identificación por ambos lados.,http://banorte-alerta.support/verify,factura.zip,spam
3184,e-banking@citibanamex.com,Compra con tarjeta terminación ****9346,Confirmamos el pago por $3310.43 de tu tarjeta terminación ****9346.,https://www.citibanamex.com/banconline,,ham
1246,secretaria@tecnm.mx,Recordatorio de entrega de proyecto,El acta ya está disponible para consulta.,,convocatoria.pdf,ham
2548,tokens@banxico.org.mx,Confirmación de pago de tarjeta,Confirmamos el pago por $1161.25 de tu tarjeta terminación ****4212.,https://www.banorte.com/portal/personas,aviso_domiciliacion.pdf,ham
3687,reintegro@banregio-seguro.su,Verifica tu identidad para evitar suspensión,Evita la suspensión cargando una identificación por ambos lados.,http://bbva-seguridad.mx.co/login,,spam
3782,help-desk@banregio-seguro.su,"Actividad inusual, valida tu sesión",Evita la suspensión cargando una identificación por ambos lados.,http://bit.ly/banco-verify-123,acceso.rar,spam
3801,verificacion@banamex.mx.reintegro.live,Bloqueo temporal de tu cuenta,Se requiere un pago único administrativo para liberar tu paquete.,http://short.url/secure-pay,,spam
1709,coordinacion@escuela.mx,Invitación a seminario de investigación,Se envía el detalle del presupuesto para revisión.,https://docs.google.com/document/d/abc123/edit,factura.pdf,ham
1158,lottery@bonus-premio.ru,URGE: Verifica tu cuenta para evitar suspensión,"Su paquete está detenido, verifique los datos de envío.",http://bit.ly/verify-345,,spam
3791,seguridad@bbva.mx-login.safe-verify.com,Verifica tu identidad para evitar suspensión,"Has sido seleccionado para una bonificación, reclama ahora.",,,spam
1309,recepcion@universidad.edu.mx,Actualización de políticas internas,Favor de revisar la actualización de la nómina.,https://docs.google.com/document/d/abc123/edit,convocatoria.pdf,ham
2793,cobranzas@santander.com.mx,Programación de transferencia exitosa,Tu estado de cuenta de noviembre ya está disponible en banca en línea.,https://www.afirme.com/,aviso_domiciliacion.pdf,ham
2422,tokens@bancoazteca.com.mx,Estado de cuenta disponible,La domiciliación por $7231.85 se aplicó a tu cuenta ****0541.,https://www.bancoazteca.com.mx/,reporte_movimientos.csv,ham
2141,bono@ganamas.click,Tu cuenta será cerrada en 24h,Pague su factura atrasada para evitar recargos.,,pago_pendiente.scr,spam
3273,cobranzas@banbajio.com,Compra con tarjeta terminación ****3102,Confirmamos el pago por $3861.66 de tu tarjeta terminación ****3102.,https://www.banorte.com/portal/personas,estado_cuenta.pdf,ham
4018,identidad@citibanamex-verifica.net,Tu cuenta será cerrada en 24 horas,Tu reembolso está listo. Proporciona tus datos bancarios para acreditar.,http://bbva.mx-login.safe-verify.com/ingreso,factura.zip,spam
2623,cobranzas@banorte.com,Código de verificación de un solo uso,Tu código de verificación es 860693. No lo compartas con nadie.,https://www.bbva.mx/banca-linea,estado_cuenta.pdf,ham
4352,soporte@banamex.mx.reintegro.live,Tu cuenta será cerrada en 24 horas,"Para evitar el cierre, inicia sesión y verifica aquí.",http://bbva-seguridad.mx.co/login,acceso.rar,spam
1104,promo@cryptofast.biz,¡Has ganado un premio MILLONARIO!,Reclama ahora tu premio en efectivo. Oferta por tiempo limitado!!!,http://ofertas-rapidas.xyz/deal,factura.zip,spam
3323,alertas@inbursa.com,Compra con tarjeta terminación ****3706,Confirmamos el pago por $3277.38 de tu tarjeta terminación ****3706.,https://www.bbva.mx/banca-linea,reporte_movimientos.csv,ham
2956,cobranzas@inbursa.com,Confirmación de pago de tarjeta,Se registró un cargo por $1499.07 en comercio OXXO el 7 de octubre.,https://www.citibanamex.com/banconline,,ham
