id,remitente,asunto,contenido,enlaces,adjuntos,label
1230,almacen@hospital.org,Clase de IA – enlace a Teams,Adjuntamos material de capacitación actualizado.,https://portal.miuniversidad.mx/ingresar,informe.pdf,ham
2085,promo@bonus-premio.ru,Última oportunidad: regalo asegurado,"Para recibir el premio, suba una copia de su identificación.",http://cryptofast.biz/login,acuse.zip,spam
1926,ganador@loteria-premios.top,Confirma tu paquete pendiente,"Para liberar su paquete, complete el pago administrativo.",http://inversion-milagro.co/alta,comprobante.rar,spam
2242,lottery@promo-cash.win,"Ganador seleccionado, confirma identidad","Crédito aprobado sin requisitos, solo hoy.",,pago_pendiente.scr,spam
1233,juan@colegio.mx,Reunión de seguimiento,Tu inscripción ha sido confirmada exitosamente.,https://docs.google.com/document/d/abc123/edit,orden_dia.docx,ham
1091,ganador@bonus-premio.ru,Deposita y DUPLICA tu dinero en 24h,"Tu regalo te espera, confirma tu dirección.",http://loteria-premios.top/gana,comprobante.rar,spam
1668,contabilidad@empresa-finanzas.com,Revisión de presupuesto,Consulta tus calificaciones en el sistema académico.,https://aulavirtual.universidad.edu.mx/curso,,ham
2112,verificacion@inversion-milagro.co,Última oportunidad: regalo asegurado,Actualice su método de pago para reactivar la suscripción.,http://promo-cash.win/recoge,acuse.zip,spam
1698,comunicacion@empresa-finanzas.com,Envío de factura del mes,Tu inscripción ha sido confirmada exitosamente.,https://portal.miuniversidad.mx/ingresar,calificaciones.xlsx,ham
1922,inversion@promo-cash.win,Tu suscripción ha sido suspendida,Pague su factura atrasada para evitar recargos.,http://bonus-premio.ru/claim,pago_pendiente.scr,spam
19,soporte@banco-seguro.co,Tu cuenta será cerrada,Último aviso: entra a este link y paga una comisión para evitar el cierre.,http://banco-seguro.co.pago-seguro.ru,,spam
1990,credito@loteria-premios.top,"Reembolso disponible, confirma tus datos",Multiplica tu inversión de forma garantizada.,http://bonus-premio.ru/claim,pago_pendiente.scr,spam
1471,servicios.escolares@empresa.com,Actualización de políticas internas,"Por seguridad, actualiza tu contraseña en el portal interno.",https://wifi.unam.mx/renovacion,reporte.csv,ham
2207,verificacion@regalo365.cc,Deposita y DUPLICA tu dinero en 24h,Aproveche la renovación con tarifa preferente.,http://sorteazo.today/registro,comprobante.rar,spam
13,profesor.tecnm.mx,Clase WhatsApp enlace del grupo,ÚNETE YA al grupo oficial en whatsappp para pasar la materia fácil.,http://whatsappp.com/xyz,,spam
1007,it.helpdesk@unam.mx,Resultados de examen parcial,Tu acceso a la red WiFi ha sido renovado por un año.,https://calendar.google.com/event?eid=123,,ham
1203,comunicacion@colegio.mx,Resultados de examen parcial,Recuerda que la fecha límite de entrega es el viernes.,https://portal.miuniversidad.mx/ingresar,reporte.csv,ham
1029,maria@empresa.com,Resultados de examen parcial,La clase de mañana será en el aula 204.,https://calendar.google.com/event?eid=123,factura.pdf,ham
1756,almacen@municipio.gob.mx,Capacitación en seguridad informática,"Buenas tardes, comparto el enlace para la clase de hoy a las 18:00.",https://wifi.unam.mx/renovacion,reporte.csv,ham
1054,biblioteca@miempresa.mx,Confirmación de inscripción,La clase de mañana será en el aula 204.,https://teams.microsoft.com/l/meetup-join/abc123,informe.pdf,ham
2322,soporte.seguridad@verifica-seguro.link,Liberación de envío retenido en aduana,"Para liberar su paquete, complete el pago administrativo.",http://sorteo-gratis.site/registro,comprobante.rar,spam
2177,bitcoin@loteria-premios.top,Confirma tu paquete pendiente,Conéctese para recibir tokens gratuitos en su billetera.,http://inversion-milagro.co/alta,soporte.exe,spam
2199,bono@vip-premios.vc,Trabajo desde casa y gana $5000/semana,"Tu regalo te espera, confirma tu dirección.",http://sorteazo.today/registro,acuse.zip,spam
1428,admin@fundacion.org,Entrega de credenciales,"Buenas tardes, comparto el enlace para la clase de hoy a las 18:00.",https://intranet.empresa.com/login,temario.pdf,ham
1847,inversion@promo-cash.win,Última oportunidad: regalo asegurado,"Su paquete está detenido, verifique los datos de envío.",http://regalo365.cc/activar,acuse.zip,spam
2146,desconocido@ganamas.click,¡Has ganado un premio MILLONARIO!,"Quedan pocas unidades, aprovecha ya mismo.",http://loteria-premios.top/gana,acuse.zip,spam
1685,biblioteca@biblioteca.edu.mx,Actualización de nómina,Recuerda que la fecha límite de entrega es el viernes.,https://drive.google.com/file/d/abc123/view,,ham
1526,servicios.escolares@municipio.gob.mx,Reunión de seguimiento,"Por seguridad, actualiza tu contraseña en el portal interno.",https://aulavirtual.universidad.edu.mx/curso,orden_dia.docx,ham
1060,biblioteca@colegio.mx,Clase de IA – enlace a Teams,Tu acceso a la red WiFi ha sido renovado por un año.,https://wifi.unam.mx/renovacion,informe.pdf,ham
2346,facturacion@verifica-seguro.link,Oferta exclusiva: iPhone por $1 solo hoy,Haz clic en el enlace y evita la suspensión de tu cuenta.,http://cryptofast.biz/login,oferta.pdf,spam
1966,promo@inversion-milagro.co,Liberación de envío retenido en aduana,"Crédito aprobado sin requisitos, solo hoy.",http://ganamas.click/ingreso,premio.doc,spam
1517,biblioteca@escuela.mx,Horario de junta semanal,La clase de mañana será en el aula 204.,,factura.pdf,ham
1614,prof.juarez@plataforma.edu,Invitación a seminario de investigación,La clase de mañana será en el aula 204.,https://aulavirtual.universidad.edu.mx/curso,temario.pdf,ham
1988,credito@bonus-premio.ru,Confirma tu paquete pendiente,Evite el cierre iniciando sesión en el siguiente enlace.,http://vip-premios.vc/acceso,,spam
1768,soporte.seguridad@bonus-premio.ru,Última oportunidad: regalo asegurado,"Crédito aprobado sin requisitos, solo hoy.",,soporte.exe,spam
1549,coordinacion@colegio.mx,Entrega de credenciales,Se realizará mantenimiento programado el sábado a las 20:00.,https://intra.miempresa.mx/politicas,informe.pdf,ham
1826,credito@ofertas-rapidas.xyz,Última oportunidad: regalo asegurado,"Su reembolso está listo, ingrese sus datos bancarios.",http://ganamas.click/ingreso,factura.zip,spam
1297,servicios.escolares@escuela.mx,Actualización de políticas internas,Se adjunta la factura correspondiente a este mes.,https://calendar.google.com/event?eid=123,factura.pdf,ham
1403,secretaria@escuela.mx,Cambio de aula para mañana,Favor de revisar la actualización de la nómina.,https://portal.miuniversidad.mx/ingresar,temario.pdf,ham
2179,bono@bonus-premio.ru,URGE: Verifica tu cuenta para evitar suspensión,Actualice su método de pago para reactivar la suscripción.,http://ofertas-rapidas.xyz/deal,comprobante.rar,spam
2015,noreply@bonus-premio.ru,Solicita tu devolución de impuestos,Use el cupón antes de medianoche para obtener el descuento.,http://inversion-milagro.co/alta,factura.zip,spam
1585,juan@escuela.mx,Clase de IA – enlace a Teams,Tu constancia está lista para descargar en el portal.,https://drive.google.com/file/d/abc123/view,calificaciones.xlsx,ham
1596,coordinacion@universidad.edu.mx,Actualización de nómina,Recuerda que la fecha límite de entrega es el viernes.,https://drive.google.com/file/d/abc123/view,factura.pdf,ham
