id,remitente,asunto,contenido,enlaces,adjuntos,label
5000000,tokens@banorte.com,Actualización de datos completada,Se actualizó tu información de contacto correctamente.,https://www.banbajio.com/,aviso_domiciliacion.pdf,ham
5000001,pagos@bancoppel.com,Tu tarjeta está lista para entrega,"Detectamos un inicio de sesión desde Guadalajara. Si fuiste tú, ignora este mensaje.",https://www.banorte.com/,movimientos.csv,ham
5000002,pagos@bbva.mx,Notificación de acceso desde nuevo dispositivo,La domiciliación por $9293.96 se aplicó a tu cuenta ****4534.,,ticket_pago.pdf,ham
5000003,notificaciones@bancoazteca.com.mx,Recordatorio de corte de tarjeta,La domiciliación por $1209.20 se aplicó a tu cuenta ****2656.,https://www.afirme.com/,ticket_pago.pdf,ham
5000004,servicio.cliente@bancoppel.com,Compra con tarjeta terminación ****5414,Se registró un cargo por $11638.60 en comercio OXXO el 18 de junio.,https://www.banbajio.com/,aviso_domiciliacion.pdf,ham
5000005,notificaciones@banregio.com,Aviso de domiciliación ejecutada,Se actualizó tu información de contacto correctamente.,https://www.banregio.com/,aviso_domiciliacion.pdf,ham
5000006,alertas@bancoazteca.com.mx,Tu tarjeta está lista para entrega,Confirmamos el pago por $11665.93 de tu tarjeta terminación ****2409.,,movimientos.csv,ham
5000007,banca.en.linea@banregio.com,Programación de transferencia exitosa,Confirmamos el pago por $9511.64 de tu tarjeta terminación ****9465.,,aviso_domiciliacion.pdf,ham
5000008,soporte@hsbc.com.mx,Aviso de domiciliación ejecutada,Tu código de verificación es 726065. No lo compartas con nadie.,,movimientos.csv,ham
5000009,no-reply@inbursa.com,Compra con tarjeta terminación ****9683,Tu código de verificación es 253599. No lo compartas con nadie.,,movimientos.csv,ham
5000010,no-reply@scotiabank.com.mx,Compra con tarjeta terminación ****1335,"Detectamos un inicio de sesión desde León. Si fuiste tú, ignora este mensaje.",https://www.bbva.mx/,comprobante_pago.pdf,ham
5000011,pagos@scotiabank.com.mx,Estado de cuenta disponible,"Detectamos un inicio de sesión desde Tijuana. Si fuiste tú, ignora este mensaje.",,movimientos.csv,ham
5000012,seguridad@banorte.com,Programación de transferencia exitosa,La domiciliación por $12413.11 se aplicó a tu cuenta ****1103.,https://www.bbva.mx/,,ham
5000013,pagos@bbva.mx,Tu tarjeta está lista para entrega,Se actualizó tu información de contacto correctamente.,https://www.cibanco.com/,aviso_domiciliacion.pdf,ham
5000014,tokens@hsbc.com.mx,Transferencia recibida,Se registró un cargo por $2386.84 en comercio OXXO el 2 de noviembre.,https://www.santander.com.mx/,aviso_domiciliacion.pdf,ham
5000015,pagos@citibanamex.com,Tu tarjeta está lista para entrega,Has recibido una transferencia por $3165.33 de Ana Torres.,,aviso_domiciliacion.pdf,ham
5000016,soporte@hsbc.com.mx,Aviso de domiciliación ejecutada,La transferencia programada para 21 de septiembre quedó registrada.,,movimientos.csv,ham
5000017,alertas@banorte.com,Código de verificación de un solo uso,La domiciliación por $10804.89 se aplicó a tu cuenta ****1043.,https://www.banregio.com/,comprobante_pago.pdf,ham
5000018,pagos@banorte.com,Programación de transferencia exitosa,Tu tarjeta terminación ****8556 está lista en la sucursal seleccionada.,https://www.scotiabank.com.mx/,movimientos.csv,ham
5000019,no-reply@banbajio.com,Notificación de acceso desde nuevo dispositivo,Tu estado de cuenta de enero ya está disponible en banca en línea.,https://www.bancoazteca.com.mx/,,ham
5000020,no-reply@banregio.com,Programación de transferencia exitosa,Se registró un cargo por $5896.85 en comercio MERCADOLIBRE el 4 de noviembre.,,estado_cuenta.pdf,ham
5000021,banca.en.linea@santander.com.mx,Aviso de domiciliación ejecutada,Tu código de verificación es 949892. No lo compartas con nadie.,https://www.scotiabank.com.mx/,estado_cuenta.pdf,ham
5000022,pagos@hsbc.com.mx,Programación de transferencia exitosa,La transferencia programada para 1 de agosto quedó registrada.,https://www.banorte.com/,aviso_domiciliacion.pdf,ham
5000023,soporte@ci-bank.com,Compra con tarjeta terminación ****9718,Tu estado de cuenta de enero ya está disponible en banca en línea.,https://www.inbursa.com/,aviso_domiciliacion.pdf,ham
5000024,banca.en.linea@ci-bank.com,Alerta de movimiento en tu cuenta,La domiciliación por $2370.89 se aplicó a tu cuenta ****9544.,https://www.banbajio.com/,ticket_pago.pdf,ham
5000025,soporte@hsbc.com.mx,Tu tarjeta está lista para entrega,Confirmamos el pago por $5267.68 de tu tarjeta terminación ****2137.,https://www.cibanco.com/,comprobante_pago.pdf,ham
5000026,estado.cuenta@banorte.com,Transferencia recibida,Tu estado de cuenta de diciembre ya está disponible en banca en línea.,https://www.hsbc.com.mx/,aviso_domiciliacion.pdf,ham
5000027,seguridad@banorte.com,Código de verificación de un solo uso,Has recibido una transferencia por $8444.09 de María López.,,comprobante_pago.pdf,ham
5000028,alertas@inbursa.com,Alerta de movimiento en tu cuenta,Tu estado de cuenta de mayo ya está disponible en banca en línea.,https://www.banbajio.com/,comprobante_pago.pdf,ham
5000029,pagos@scotiabank.com.mx,Tu tarjeta está lista para entrega,Tu tarjeta terminación ****6823 está lista en la sucursal seleccionada.,https://www.inbursa.com/,ticket_pago.pdf,ham
5000030,tokens@banorte.com,Actualización de datos completada,Tu código de verificación es 072384. No lo compartas con nadie.,,comprobante_pago.pdf,ham
5000031,tokens@bancoppel.com,Compra con tarjeta terminación ****4006,Tu estado de cuenta de junio ya está disponible en banca en línea.,https://www.scotiabank.com.mx/,estado_cuenta.pdf,ham
5000032,alertas@bancoazteca.com.mx,Recordatorio de corte de tarjeta,Tu estado de cuenta de febrero ya está disponible en banca en línea.,https://www.scotiabank.com.mx/,aviso_domiciliacion.pdf,ham
5000033,seguridad@afirme.com,Alerta de movimiento en tu cuenta,La transferencia programada para 26 de junio quedó registrada.,https://www.inbursa.com/,ticket_pago.pdf,ham
5000034,banca.en.linea@citibanamex.com,Transferencia recibida,Se actualizó tu información de contacto correctamente.,https://www.hsbc.com.mx/,estado_cuenta.pdf,ham
5000035,alertas@citibanamex.com,Alerta de movimiento en tu cuenta,Tu código de verificación es 316024. No lo compartas con nadie.,https://www.afirme.com/,aviso_domiciliacion.pdf,ham
5000036,banca.en.linea@banorte.com,Actualización de datos completada,Se registró un cargo por $2264.54 en comercio TELMEX el 10 de mayo.,,comprobante_pago.pdf,ham
5000037,alertas@bbva.mx,Notificación de acceso desde nuevo dispositivo,Confirmamos el pago por $3464.68 de tu tarjeta terminación ****3176.,,ticket_pago.pdf,ham
